Source,Target,Point Difference,Mean Distance,o3D Distance
silla_1.pcd,kitchen_1.pcd,9940.0,3.4051033847214813,1.9018548346985926
silla_1.pcd,lcar1.pcd,6887.0,12.488021938892146,1.708025811508384
silla_1.pcd,kitchen_0.pcd,9392.0,3.463861433386347,1.8801444854060145
silla_1.pcd,kitchen_2.pcd,10779.0,3.2741507534315364,2.0553245546718473
silla_1.pcd,lcar3.pcd,6940.0,12.478464612453633,1.707142712267206
silla_1.pcd,lcar2.pcd,7129.0,12.87402192198224,1.7075407911740577
lcar3.pcd,silla_2.pcd,13017.0,12.29983149025721,10.945901202206059
lcar3.pcd,silla_0.pcd,14832.0,12.497365834684528,11.150096247209065
lcar3.pcd,kitchen_3.pcd,15967.0,12.412115042319336,11.121754296943527
lcar3.pcd,kitchen_1.pcd,16880.0,12.433266475978165,11.144437272592386
